宁夏电信-组播1,#genre#
三沙卫视,http://111.113.88.199:2000/rtp/239.121.4.101:9220
山东卫视,http://111.113.88.199:2000/rtp/239.121.4.162:8956
山西卫视,http://111.113.88.199:2000/rtp/239.121.4.32:8166
陕西卫视,http://111.113.88.199:2000/rtp/239.121.4.38:8202
深圳卫视,http://111.113.88.199:2000/rtp/239.121.4.119:8696
生活时尚,http://111.113.88.199:2000/rtp/239.121.4.68:8382
四川卫视,http://111.113.88.199:2000/rtp/239.121.4.110:8642
台球,http://111.113.88.199:2000/rtp/239.121.4.194:9148
天津卫视,http://111.113.88.199:2000/rtp/239.121.4.72:8406
武术,http://111.113.88.199:2000/rtp/239.121.4.191:9130
武侠剧场,http://111.113.88.199:2000/rtp/239.121.4.179:9058
西藏卫视,http://111.113.88.199:2000/rtp/239.121.4.56:8310
喜剧影院,http://111.113.88.199:2000/rtp/239.121.4.176:9040
戏曲,http://111.113.88.199:2000/rtp/239.121.4.187:9106
新疆卫视,http://111.113.88.199:2000/rtp/239.121.4.58:8322
星影,http://111.113.88.199:2000/rtp/239.121.4.168:8992
音乐现场,http://111.113.88.199:2000/rtp/239.121.4.178:9052
银川公共,http://111.113.88.199:2000/rtp/239.121.4.21:8100
银川生活,http://111.113.88.199:2000/rtp/239.121.4.106:8610
银川文体,http://111.113.88.199:2000/rtp/239.121.4.22:8106
游戏风云,http://111.113.88.199:2000/rtp/239.121.4.75:8424
云南卫视,http://111.113.88.199:2000/rtp/239.121.4.48:8262
早教,http://111.113.88.199:2000/rtp/239.121.4.198:9172
浙江卫视,http://111.113.88.199:2000/rtp/239.121.4.116:8678
直播室101,http://111.113.88.199:2000/rtp/239.121.4.127:8744
直播室102,http://111.113.88.199:2000/rtp/239.121.4.128:8750
直播室103,http://111.113.88.199:2000/rtp/239.121.4.129:8756
直播室104,http://111.113.88.199:2000/rtp/239.121.4.130:8762
直播室105,http://111.113.88.199:2000/rtp/239.121.4.131:8768
直播室106,http://111.113.88.199:2000/rtp/239.121.4.132:8774
直播室107,http://111.113.88.199:2000/rtp/239.121.4.133:8780
直播室108,http://111.113.88.199:2000/rtp/239.121.4.146:8858
直播室109,http://111.113.88.199:2000/rtp/239.121.4.147:8864
直播室110,http://111.113.88.199:2000/rtp/239.121.4.148:8870
直播室111,http://111.113.88.199:2000/rtp/239.121.4.149:8876
中国天气,http://111.113.88.199:2000/rtp/239.121.4.112:8654
重庆卫视,http://111.113.88.199:2000/rtp/239.121.4.36:8190
足球,http://111.113.88.199:2000/rtp/239.121.4.193:9142
宁夏公共,http://111.113.88.199:2000/rtp/239.121.4.97:8556
宁夏教育,http://111.113.88.199:2000/rtp/239.121.4.200:9184
宁夏经济,http://111.113.88.199:2000/rtp/239.121.4.91:8520
宁夏少儿,http://111.113.88.199:2000/rtp/239.121.4.63:8352
宁夏卫视,http://111.113.88.199:2000/rtp/239.121.4.94:8538
宁夏文旅,http://111.113.88.199:2000/rtp/239.121.4.93:8532
